city,state,cities_links,file
toledo,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-toledo-bandeira-mini-brsspr0602227700.jpg,data/flags/municipio-toledo-bandeira-mini-brsspr0602227700.jpg
tomazina,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-tomazina-bandeira-mini-brsspr0401827809.jpg,data/flags/municipio-tomazina-bandeira-mini-brsspr0401827809.jpg
tres-barras-do-parana,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-tres-barras-do-parana-bandeira-mini-brsspr0602327858.jpg,data/flags/municipio-tres-barras-do-parana-bandeira-mini-brsspr0602327858.jpg
tunas-do-parana,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-tunas-do-parana-bandeira-mini-brsspr1003727882.jpg,data/flags/municipio-tunas-do-parana-bandeira-mini-brsspr1003727882.jpg
tuneiras-do-oeste,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-tuneiras-do-oeste-bandeira-mini-brsspr0100327908.jpg,data/flags/municipio-tuneiras-do-oeste-bandeira-mini-brsspr0100327908.jpg
tupassi,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-tupassi-bandeira-mini-brsspr0602227957.jpg,data/flags/municipio-tupassi-bandeira-mini-brsspr0602227957.jpg
turvo,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-turvo-bandeira-mini-brsspr0802927965.jpg,data/flags/municipio-turvo-bandeira-mini-brsspr0802927965.jpg
ubirata,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-ubirata-bandeira-mini-brsspr0200428005.jpg,data/flags/municipio-ubirata-bandeira-mini-brsspr0200428005.jpg
umuarama,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-umuarama-bandeira-mini-brsspr0100228104.jpg,data/flags/municipio-umuarama-bandeira-mini-brsspr0100228104.jpg
uniao-da-vitoria,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-uniao-da-vitoria-bandeira-mini-brsspr0903328203.jpg,data/flags/municipio-uniao-da-vitoria-bandeira-mini-brsspr0903328203.jpg
uniflor,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-uniflor-bandeira-mini-brsspr0300628302.jpg,data/flags/municipio-uniflor-bandeira-mini-brsspr0300628302.jpg
urai,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-urai-bandeira-mini-brsspr0401428401.jpg,data/flags/municipio-urai-bandeira-mini-brsspr0401428401.jpg
ventania,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-ventania-bandeira-mini-brsspr0501928534.jpg,data/flags/municipio-ventania-bandeira-mini-brsspr0501928534.jpg
vera-cruz-do-oeste,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-vera-cruz-do-oeste-bandeira-mini-brsspr0602428559.jpg,data/flags/municipio-vera-cruz-do-oeste-bandeira-mini-brsspr0602428559.jpg
vere,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-vere-bandeira-mini-brsspr0702628609.jpg,data/flags/municipio-vere-bandeira-mini-brsspr0702628609.jpg
virmond,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-virmond-bandeira-mini-brsspr0802928658.jpg,data/flags/municipio-virmond-bandeira-mini-brsspr0802928658.jpg
vitorino,parana,https://www.mbi.com.br//mbi/files/media/image/simbolopedia/municipio-vitorino-bandeira-mini-brsspr0702728708.jpg,data/flags/municipio-vitorino-bandeira-mini-brsspr0702728708.jpg
